GRAPH,PRIM,KRUSKAL.UNION,KRUSKAL.DFS,KRUSKAL.BFS
input_random_01_10.txt ,18,9,9,9
input_random_02_10.txt ,26,11,11,11
input_random_03_10.txt ,28,12,12,12
input_random_04_10.txt ,22,11,11,11
input_random_05_20.txt ,50,20,20,20
input_random_06_20.txt ,50,24,24,24
input_random_07_20.txt ,58,25,25,25
input_random_08_20.txt ,52,23,23,23
input_random_09_40.txt ,114,44,44,44
input_random_10_40.txt ,102,47,47,47
input_random_11_40.txt ,100,45,45,45
input_random_12_40.txt ,104,44,44,44
input_random_13_80.txt ,216,98,98,98
input_random_14_80.txt ,202,99,99,99
input_random_15_80.txt ,208,98,98,98
input_random_16_80.txt ,230,112,112,112
input_random_17_100.txt ,274,129,129,129
input_random_18_100.txt ,258,119,119,119
input_random_19_100.txt ,274,114,114,114
input_random_20_100.txt ,266,118,118,118
input_random_21_200.txt ,536,253,253,253
input_random_22_200.txt ,538,248,248,248
input_random_23_200.txt ,538,240,240,240
input_random_24_200.txt ,534,263,263,263
input_random_25_400.txt ,1082,518,518,518
input_random_26_400.txt ,1036,499,499,499
input_random_27_400.txt ,1078,509,509,509
input_random_28_400.txt ,1052,519,519,519
input_random_29_800.txt ,2126,1038,1038,1038
input_random_30_800.txt ,2118,1021,1021,1021
input_random_31_800.txt ,2156,1015,1015,1015
input_random_32_800.txt ,2100,1033,1033,1033
input_random_33_1000.txt ,2602,1254,1254,1254
input_random_34_1000.txt ,2626,1303,1303,1303
input_random_35_1000.txt ,2656,1297,1297,1297
input_random_36_1000.txt ,2690,1307,1307,1307
input_random_37_2000.txt ,5398,2615,2615,2615
input_random_38_2000.txt ,5308,2636,2636,2636
input_random_39_2000.txt ,5304,2608,2608,2608
input_random_40_2000.txt ,5354,2644,2644,2644
input_random_41_4000.txt ,10722,5253,5253,5253
input_random_42_4000.txt ,10632,5281,5281,5281
input_random_43_4000.txt ,10680,5214,5214,5214
input_random_44_4000.txt ,10738,5361,5361,5361
input_random_45_8000.txt ,21412,10624,10624,10624
input_random_46_8000.txt ,21344,10497,10497,10497
input_random_47_8000.txt ,21324,10614,10614,10614
input_random_48_8000.txt ,21516,10680,10680,10680
input_random_49_10000.txt ,26604,13205,13205,13205
input_random_50_10000.txt ,26684,13303,13303,13303
input_random_51_10000.txt ,26574,13145,13145,13145
input_random_52_10000.txt ,26626,13265,13265,13265
input_random_53_20000.txt ,53342,26559,26559,26559
input_random_54_20000.txt ,53652,26520,26520,26520
input_random_55_20000.txt ,53348,26481,26481,26481
input_random_56_20000.txt ,53342,26490,26490,26490
input_random_57_40000.txt ,106830,53276,53276,53276
input_random_58_40000.txt ,106894,53287,53287,53287
input_random_59_40000.txt ,106486,52922,52922,52922
input_random_60_40000.txt ,106638,52926,52926,52926
input_random_61_80000.txt ,213828,106724,106724,106724
input_random_62_80000.txt ,213268,106345,106345,106345
input_random_63_80000.txt ,213174,106424,106424,106424
input_random_64_80000.txt ,213110,105858,105858,105858
input_random_65_100000.txt ,266790,133032,133032,133032
input_random_66_100000.txt ,266428,133003,133003,133003
input_random_67_100000.txt ,267050,133354,133354,133354
input_random_68_100000.txt ,266926,132587,132587,132587
