GRAPHS,NODES,PRIM,KRUSKAL.UNION,KRUSKAL.DFS,KRUSKAL:BFS
0,10,0.000022125,0.0000289,0.00001145,0.00001515
0,20,0.000044625,0.00005365,0.0000226,0.000033
0,40,0.0000968,0.000128325,0.000051125,0.000081325
0,80,0.000241,0.000324325,0.000164225,0.000277225
0,100,0.00028485,0.000334775,0.00017665,0.000294925
0,200,0.000741775,0.001026025,0.000630625,0.0011942
0,400,0.001263175,0.00200145,0.0023082,0.004282225
0,800,0.00323665,0.00448715,0.011891925,0.0181848
0,1000,0.004628875,0.00711725,0.01982645,0.03247695
0,2000,0.005689825,0.010132575,0.052665425,0.083336375
0,4000,0.0109902,0.01985935,0.1938935,0.31814675
0,8000,0.022663825,0.04347925,0.79335575,1.2944925
0,10000,0.0287917,0.05514405,1.2583425,1.999255
0,20000,0.058707075,0.1241515,5.1706575,8.31385
0,40000,0.122796,0.27106725,21.1708,33.7453
0,80000,0.2623645,0.59407775,94.729725,147.061
0,100000,0.3398265,0.78429975,168.4145,253.8655
