"","GRAPH","PRIM","KRUSKAL.UNION","KRUSKAL.DFS","KRUSKAL.BFS"
"1","input_random_01_10.txt ",2.23e-05,2.52e-05,1.18e-05,1.38e-05
"2","input_random_02_10.txt ",2.19e-05,2.42e-05,1.09e-05,1.51e-05
"3","input_random_03_10.txt ",2.44e-05,2.64e-05,1.17e-05,1.63e-05
"4","input_random_04_10.txt ",1.99e-05,3.98e-05,1.14e-05,1.54e-05
"5","input_random_05_20.txt ",4.54e-05,5.09e-05,2.1e-05,2.96e-05
"6","input_random_06_20.txt ",4.28e-05,5.38e-05,2.24e-05,3.36e-05
"7","input_random_07_20.txt ",4.67e-05,5.59e-05,2.56e-05,3.7e-05
"8","input_random_08_20.txt ",4.36e-05,5.4e-05,2.14e-05,3.18e-05
"9","input_random_09_40.txt ",8.98e-05,0.0001214,4.74e-05,6.8e-05
"10","input_random_10_40.txt ",8.96e-05,0.0001185,4.65e-05,9.27e-05
"11","input_random_11_40.txt ",8.61e-05,0.000116,4.58e-05,7.47e-05
"12","input_random_12_40.txt ",0.0001217,0.0001574,6.48e-05,8.99e-05
"13","input_random_13_80.txt ",0.0002631,0.0003387,0.0001981,0.0003148
"14","input_random_14_80.txt ",0.0002957,0.0003759,0.0001952,0.0003228
"15","input_random_15_80.txt ",0.0002213,0.000322,0.0001168,0.0001899
"16","input_random_16_80.txt ",0.0001839,0.0002607,0.0001468,0.0002814
"17","input_random_17_100.txt ",0.0002809,0.0003619,0.0001776,0.0003533
"18","input_random_18_100.txt ",0.0002472,0.0003346,0.0001815,0.000301
"19","input_random_19_100.txt ",0.0003126,0.0003215,0.0001931,0.0002477
"20","input_random_20_100.txt ",0.0002987,0.0003211,0.0001544,0.0002777
"21","input_random_21_200.txt ",0.000874,0.0009747,0.000534,0.0009846
"22","input_random_22_200.txt ",0.0008898,0.0013634,0.0008088,0.0014474
"23","input_random_23_200.txt ",0.000635,0.0009264,0.0005399,0.0010597
"24","input_random_24_200.txt ",0.0005683,0.0008396,0.0006398,0.0012851
"25","input_random_25_400.txt ",0.0015488,0.002236,0.0029238,0.005317
"26","input_random_26_400.txt ",0.0010366,0.001786,0.0017791,0.0032735
"27","input_random_27_400.txt ",0.0014152,0.0022047,0.0021077,0.0047676
"28","input_random_28_400.txt ",0.0010521,0.0017791,0.0024222,0.0037708
"29","input_random_29_800.txt ",0.0027576,0.0040166,0.0109435,0.0158155
"30","input_random_30_800.txt ",0.0024597,0.0042523,0.0092917,0.014762
"31","input_random_31_800.txt ",0.004772,0.0050212,0.0114346,0.018431
"32","input_random_32_800.txt ",0.0029573,0.0046585,0.0158979,0.0237307
"33","input_random_33_1000.txt ",0.0039937,0.0060461,0.0167154,0.0269884
"34","input_random_34_1000.txt ",0.0068903,0.0093624,0.0196102,0.0359752
"35","input_random_35_1000.txt ",0.0043936,0.0068385,0.0257943,0.0321756
"36","input_random_36_1000.txt ",0.0032379,0.006222,0.0171859,0.0347686
"37","input_random_37_2000.txt ",0.006971,0.0118937,0.0676218,0.0908091
"38","input_random_38_2000.txt ",0.0052637,0.0096671,0.0500617,0.0815537
"39","input_random_39_2000.txt ",0.005229,0.0093522,0.0469542,0.0825529
"40","input_random_40_2000.txt ",0.0052956,0.0096173,0.046024,0.0784298
"41","input_random_41_4000.txt ",0.0120093,0.021044,0.213293,0.341418
"42","input_random_42_4000.txt ",0.0109606,0.0199926,0.190029,0.313774
"43","input_random_43_4000.txt ",0.0105224,0.0190362,0.177921,0.29646
"44","input_random_44_4000.txt ",0.0104685,0.0193646,0.194331,0.320935
"45","input_random_45_8000.txt ",0.0224681,0.0436783,0.796194,1.27697
"46","input_random_46_8000.txt ",0.0217485,0.0416504,0.791508,1.23286
"47","input_random_47_8000.txt ",0.0243928,0.045482,0.770846,1.34956
"48","input_random_48_8000.txt ",0.0220459,0.0431063,0.814875,1.31858
"49","input_random_49_10000.txt ",0.0287203,0.0543871,1.23424,2.03893
"50","input_random_50_10000.txt ",0.0309194,0.0581762,1.30569,2.04835
"51","input_random_51_10000.txt ",0.028021,0.0538767,1.2361,1.91129
"52","input_random_52_10000.txt ",0.0275061,0.0541362,1.25734,1.99845
"53","input_random_53_20000.txt ",0.0586548,0.121006,5.20261,8.6395
"54","input_random_54_20000.txt ",0.0594331,0.127092,5.21449,8.25827
"55","input_random_55_20000.txt ",0.0586596,0.123621,5.11684,8.22975
"56","input_random_56_20000.txt ",0.0580808,0.124887,5.14869,8.12788
"57","input_random_57_40000.txt ",0.12261,0.272339,21.1197,33.6028
"58","input_random_58_40000.txt ",0.122679,0.26778,21.387,34.1273
"59","input_random_59_40000.txt ",0.12302,0.269926,20.867,33.7653
"60","input_random_60_40000.txt ",0.122875,0.274224,21.3095,33.4858
"61","input_random_61_80000.txt ",0.26057,0.585217,95.386,149.296
"62","input_random_62_80000.txt ",0.261448,0.603911,95.3925,147.101
"63","input_random_63_80000.txt ",0.260784,0.599035,95.9979,149.658
"64","input_random_64_80000.txt ",0.266656,0.588148,92.1425,142.189
"65","input_random_65_100000.txt ",0.341934,0.79977,165.365,255.608
"66","input_random_66_100000.txt ",0.338952,0.772628,172.812,253.56
"67","input_random_67_100000.txt ",0.337417,0.778169,169.326,253.897
"68","input_random_68_100000.txt ",0.341003,0.786632,166.155,252.397
