NODES , PRIM , KRUSKAL UNION , KRUSKAL DFS , KRUSKAL BFS
10 , 29316 , 29316 , 29316 , 29316
10 , 2126 , 2126 , 2126 , 2126
10 , -44765 , -44765 , -44765 , -44765
10 , 20360 , 20360 , 20360 , 20360
20 , -32021 , -32021 , -32021 , -32021
20 , 18596 , 18596 , 18596 , 18596
20 , -42560 , -42560 , -42560 , -42560
20 , -37205 , -37205 , -37205 , -37205
40 , -122078 , -122078 , -122078 , -122078
40 , -37021 , -37021 , -37021 , -37021
40 , -79570 , -79570 , -79570 , -79570
40 , -79741 , -79741 , -79741 , -79741
80 , -139926 , -139926 , -139926 , -139926
80 , -211345 , -211345 , -211345 , -211345
80 , -110571 , -110571 , -110571 , -110571
80 , -233320 , -233320 , -233320 , -233320
100 , -141960 , -141960 , -141960 , -141960
100 , -271743 , -271743 , -271743 , -271743
100 , -288906 , -288906 , -288906 , -288906
100 , -232178 , -232178 , -232178 , -232178
200 , -510185 , -510185 , -510185 , -510185
200 , -515136 , -515136 , -515136 , -515136
200 , -444357 , -444357 , -444357 , -444357
200 , -393278 , -393278 , -393278 , -393278
400 , -1122919 , -1122919 , -1122919 , -1122919
400 , -788168 , -788168 , -788168 , -788168
400 , -895704 , -895704 , -895704 , -895704
400 , -733645 , -733645 , -733645 , -733645
800 , -1541291 , -1541291 , -1541291 , -1541291
800 , -1578294 , -1578294 , -1578294 , -1578294
800 , -1675534 , -1675534 , -1675534 , -1675534
800 , -1652119 , -1652119 , -1652119 , -1652119
1000 , -2091110 , -2091110 , -2091110 , -2091110
1000 , -1934208 , -1934208 , -1934208 , -1934208
1000 , -2229428 , -2229428 , -2229428 , -2229428
1000 , -2359192 , -2359192 , -2359192 , -2359192
2000 , -4811598 , -4811598 , -4811598 , -4811598
2000 , -4739387 , -4739387 , -4739387 , -4739387
2000 , -4717250 , -4717250 , -4717250 , -4717250
2000 , -4537267 , -4537267 , -4537267 , -4537267
4000 , -8722212 , -8722212 , -8722212 , -8722212
4000 , -9314968 , -9314968 , -9314968 , -9314968
4000 , -9845767 , -9845767 , -9845767 , -9845767
4000 , -8681447 , -8681447 , -8681447 , -8681447
8000 , -17844628 , -17844628 , -17844628 , -17844628
8000 , -18800966 , -18800966 , -18800966 , -18800966
8000 , -18741474 , -18741474 , -18741474 , -18741474
8000 , -18190442 , -18190442 , -18190442 , -18190442
10000 , -22086729 , -22086729 , -22086729 , -22086729
10000 , -22338561 , -22338561 , -22338561 , -22338561
10000 , -22581384 , -22581384 , -22581384 , -22581384
10000 , -22606313 , -22606313 , -22606313 , -22606313
20000 , -45978687 , -45978687 , -45978687 , -45978687
20000 , -45195405 , -45195405 , -45195405 , -45195405
20000 , -47854708 , -47854708 , -47854708 , -47854708
20000 , -46420311 , -46420311 , -46420311 , -46420311
40000 , -92003321 , -92003321 , -92003321 , -92003321
40000 , -94397064 , -94397064 , -94397064 , -94397064
40000 , -88783643 , -88783643 , -88783643 , -88783643
40000 , -93017025 , -93017025 , -93017025 , -93017025
80000 , -186834082 , -186834082 , -186834082 , -186834082
80000 , -185997521 , -185997521 , -185997521 , -185997521
80000 , -182065015 , -182065015 , -182065015 , -182065015
80000 , -180803872 , -180803872 , -180803872 , -180803872
100000 , -230698391 , -230698391 , -230698391 , -230698391
100000 , -230168572 , -230168572 , -230168572 , -230168572
100000 , -231393935 , -231393935 , -231393935 , -231393935
100000 , -231011693 , -231011693 , -231011693 , -231011693
